?cls,?mondo_label,?definition,?gene,?gene_label
<http://purl.obolibrary.org/obo/MONDO_0011534>,Charcot-Marie-Tooth disease type 4G,"Charcot-Marie-Tooth disease type 4G (CMT4G) is a subtype of Charcot-Marie-Tooth disease type 4 characterized by early childhood onset of progressive distal muscle weakness and atrophy, delayed motor development, prominent distal sensory impairment, areflexia, moderately reduced nerve conduction velocities, and foot and hand deformities in Balkan (Russe) Gypsies.",<http://identifiers.org/hgnc/4922>,HK1
<http://purl.obolibrary.org/obo/MONDO_0009530>,lipoid proteinosis,"Lipoid proteinosis (LP) is a rare genodermatosis characterized clinically by mucocutaneous lesions, hoarseness developing in early childhood and, at times, neurological complications.",<http://identifiers.org/hgnc/3153>,ECM1
<http://purl.obolibrary.org/obo/MONDO_0014165>,multiple congenital anomalies-hypotonia-seizures syndrome 3,"A rare congenital disorder of glycosylation characterized by neonatal hypotonia, global development delay, developmental regress and severe to profound intellectual disability, infantile onset seizures that are initially associated with febrile episodes with subsequent transition to unprovoked seizures, impaired vision with esotropia and nystagmus, progressive cerebral and cerebellar atrophy, skeletal abnormalities (including brachycephaly, scoliosis, slender long bones, delayed bone age, pectus excavatum and osteopenia), inverted nipples and dysmorphic features including high and narrow forehead, frontal bossing, short nose, depressed nasal bridge, anteverted nares, high palate and wide open mouth consistent with facial hypotonia. Other features may include cardiac abnormalities (such as patent ductus arteriosus, atrial septal defects), urogenital abnormalities (such as nephrocalcinosis, urolithiasis), and low plasma concentration of alkaline phosphatase.",<http://identifiers.org/hgnc/14938>,PIGT
<http://purl.obolibrary.org/obo/MONDO_0010028>,sialuria,"Sialuria is an extremely rare metabolic disorder described in fewer than 10 patients to date and characterized by variable signs and symptoms, mostly in infancy, including transient failure to thrive, slightly prolonged neonatal jaundice, equivocal or mild hepatomegaly, microcytic anemia, frequent upper respiratory infections, gastroenteritis, dehydration and flat and coarse facies. Learning difficulties and seizures may occur in childhood.",<http://identifiers.org/hgnc/23657>,GNE
<http://purl.obolibrary.org/obo/MONDO_0009216>,glycogen storage disease due to GLUT2 deficiency,"Fanconi-Bickel glycogenosis (FBG) is a rare glycogen storage disease characterized by hepatorenal glycogen accumulation, severe renal tubular dysfunction and impaired glucose and galactose metabolism.",<http://identifiers.org/hgnc/11006>,SLC2A2
<http://purl.obolibrary.org/obo/MONDO_0009852>,hereditary intrinsic factor deficiency,Congenital intrinsic factor deficiency (IFD) is a rare disorder of vitamin B12 (cobalamin) absorption that is characterized by megaloblastic anemia and neurological abnormalities.,<http://identifiers.org/hgnc/4268>,CBLIF
<http://purl.obolibrary.org/obo/MONDO_0012091>,autosomal recessive nonsyndromic hearing loss 32,"An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound, stable hearing loss and has material basis in variation in the chromosome region 1p22.1-p13.3.",<http://identifiers.org/hgnc/1718>,CDC14A
<http://purl.obolibrary.org/obo/MONDO_0010959>,van den Ende-Gupta syndrome,"Van den Ende-Gupta syndrome is a very rare syndrome characterized by blepharophimosis, arachnodactyly, joint contractures, and characteristic dysmorphic features.",<http://identifiers.org/hgnc/19869>,SCARF2
<http://purl.obolibrary.org/obo/MONDO_0011888>,immunodeficiency 67,An immunodeficiency associated with increased susceptibility to invasive infections caused by pyogenic bacteria.,<http://identifiers.org/hgnc/17967>,IRAK4
<http://purl.obolibrary.org/obo/MONDO_0008501>,Sturge-Weber syndrome,Sturge-Weber syndrome (SWS) is a rare congenital neurocutaneous disorder characterized by facial capillary malformations and/or cerebral and ocular ipsilateral vascular malformations that result in variable degrees of ocular and neurological anomalies.,<http://identifiers.org/hgnc/4390>,GNAQ
<http://purl.obolibrary.org/obo/MONDO_0007336>,isolated cleft palate,A cleft palate that is not part of a larger syndrome.,<http://identifiers.org/hgnc/12463>,UBB
<http://purl.obolibrary.org/obo/MONDO_0009705>,carnitine palmitoyl transferase 1A deficiency,"Carnitine palmitoyltransferase 1A (CPT-1A) deficiency is an inborn error of metabolism that affects mitochondrial oxidation of long chain fatty acids (LCFA) in the liver and kidneys, and is characterized by recurrent attacks of fasting-induced hypoketotic hypoglycemia and risk of liver failure.",<http://identifiers.org/hgnc/2328>,CPT1A
<http://purl.obolibrary.org/obo/MONDO_0007369>,hereditary coproporphyria,"A form of acute hepatic porphyria characterized by the occurrence of neuro-visceral attacks and, more rarely, by the presence of cutaneous lesions.",<http://identifiers.org/hgnc/2321>,CPOX
<http://purl.obolibrary.org/obo/MONDO_0013922>,Seckel syndrome 7,"Microcephalic primordial dwarfism, Dauber type is a rare, genetic developmental defect during embryogenesis characterized by severe pre- and postnatal growth retardation, severe microcephaly, severe developmental delay and intelletual disability, severe adult short stature and facial dysmorphism (incl. hypotelorism, small ears, prominent nose). Other reported features include skeletal anomalies (Madelung deformity, clinodactyly, mild lumbar scoliosis, bilateral hip dysplasia) and seizures. Absence of thelarche and menarche is also associated.",<http://identifiers.org/hgnc/14906>,NIN
<http://purl.obolibrary.org/obo/MONDO_0017178>,osteochondritis dissecans,"A rare bone disease characterized by an acquired idiopathic necrotic lesion of subchondral bone with the formation of a sequestrum, which may detach to form loose bodies in joints. OCD mainly affects the knee, ankle and elbow joints and can lead to pain, functional limitations and secondary osteoarthritis.",<http://identifiers.org/hgnc/319>,ACAN
<http://purl.obolibrary.org/obo/MONDO_0009252>,essential fructosuria,"Essential fructosuria is a rare autosomal recessive disorder of fructose metabolism caused by a deficiency of fructokinaseenzyme activity. It is characterized by elevated fructosemia and presence of fructosuria following ingestion of fructose and related sugars (sucrose, sorbitol). Essential fructosuria is clinically asymptomatic and harmless. Dietary restriction is not indicated.",<http://identifiers.org/hgnc/6315>,KHK
<http://purl.obolibrary.org/obo/MONDO_0009174>,protein-losing enteropathy,"Pathological conditions in the intestines that are characterized by the gastrointestinal loss of serum proteins, including serum albumin; immunoglobulins; and at times lymphocytes. Severe condition can result in hypogammaglobulinemia or lymphopenia. Protein-losing enteropathies are associated with a number of diseases including intestinal lymphangiectasis; whipple'S disease; and neoplasms of the small intestine.",<http://identifiers.org/hgnc/2665>,CD55
<http://purl.obolibrary.org/obo/MONDO_0012345>,acral peeling skin syndrome,Acral peeling skin syndrome (PSS) is a form of PSS characterized by superficial peeling of the skin predominantly affecting the dorsa of the hands and feet.,<http://identifiers.org/hgnc/11781>,TGM5
<http://purl.obolibrary.org/obo/MONDO_0008872>,microcephalic osteodysplastic primordial dwarfism type II,"A form of microcephalic primordial dwarfism (MPD) characterized by severe pre- and postnatal growth retardation, with marked microcephaly in proportion to body size, skeletal dysplasia, abnormal dentition, insulin resistance, and increased risk for cerebrovascular disease.",<http://identifiers.org/hgnc/16068>,PCNT
<http://purl.obolibrary.org/obo/MONDO_0008865>,Bietti crystalline corneoretinal dystrophy,"Bietti's crystalline dystrophy (BCD) is a rare progressive autosomal recessive tapetoretinal degeneration disease, occurring in the third decade of life, characterized by small sparkling crystalline deposits in the posterior retina and corneal limbus in addition to sclerosis of the choroidal vessels and manifesting as nightblindness, decreased vision, paracentral scotoma, and, in the end stages of the disease, legal blindness.",<http://identifiers.org/hgnc/23198>,CYP4V2
<http://purl.obolibrary.org/obo/MONDO_0014866>,Charcot-Marie-Tooth disease axonal type 2T,A Charcot-Marie-Tooth disease type 2 that has material basis in homozygous or compound heterozygous mutation in the MME gene on chromosome 3q25.,<http://identifiers.org/hgnc/5228>,DNAJB2
<http://purl.obolibrary.org/obo/MONDO_0009251>,"fructose-1,6-bisphosphatase deficiency","Fructose-1,6-biphosphatase (FBP) deficiency is a disorder of fructose metabolism characterized by recurrent episodes of fasting hypoglycemia with lactic acidosis, that may be life-threatening in neonates and infants.",<http://identifiers.org/hgnc/3606>,FBP1
<http://purl.obolibrary.org/obo/MONDO_0010659>,FRAXE intellectual disability,A nonsyndromic X-linked mental retardation (NS-XLMR) characterized by mild intellectual deficit. FRAXE is the most common form of NS-XLMR.,<http://identifiers.org/hgnc/3776>,AFF2
<http://purl.obolibrary.org/obo/MONDO_0011819>,spinocerebellar ataxia type 19/22,"Spinocerebellar ataxia type 19 (SCA19) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I). It is characterized by mild cerebellar ataxia, cognitive impairment, low scores on the Wisconsin Card Sorting Test measuring executive function, myoclonus, and postural tremor.",<http://identifiers.org/hgnc/6239>,KCND3
<http://purl.obolibrary.org/obo/MONDO_0009615>,methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,"Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency is a rare inborn error of metabolism disease characterized by mild to moderate, persistent elevation of methylmalonic acid in plasma, urine and cerebrospinal fluid. Clinical presentation may include acute metabolic decompensation with metabolic acidosis (presenting with vomiting, dehydration, confusion, hallucinations), nonspecific neurological symptoms, or may also be asymptomatic.",<http://identifiers.org/hgnc/16732>,MCEE
<http://purl.obolibrary.org/obo/MONDO_0009990>,Revesz syndrome,"Revesz syndrome is a rare severe phenotypic variant of dyskeratosis congenita (DC) with an onset in early childhood, characterized by features of DC (e.g. skin hyper/hypopigmentation, nail dystrophy, oral leukoplakia, high risk of bone marrow failure (BMF) and cancer, developmental delay sparse and fine hair) in conjunction with bilateral exudative retinopathy, and intracranial calcifications.",<http://identifiers.org/hgnc/11824>,TINF2
<http://purl.obolibrary.org/obo/MONDO_0012656>,lethal congenital contracture syndrome 3,"Lethal congenital contracture syndrome type 3 is a rare arthrogryposis syndrome characterized by clinical features identical to Lethal congenital contracture syndrome type 2 (i.e. multiple congenital contactures (typically extended elbows and flexed knees), micrognathia, anterior horn cells degeneration, skeletal muscle atrophy (mainly in the lower limbs), in the absence of hydrops, pterygia or bone fractures), but without bladder enlargement.",<http://identifiers.org/hgnc/8996>,PIP5K1C
<http://purl.obolibrary.org/obo/MONDO_0008758>,mitochondrial DNA depletion syndrome 4a,"Alpers Huttenlocher syndrome (AHS) is a cerebrohepatopathy and a rare and severe form of mitochondrial DNA (mtDNA) depletion syndrome characterized by the triad of progressive developmental regression, intractable seizures, and hepatic failure.",<http://identifiers.org/hgnc/9179>,POLG
<http://purl.obolibrary.org/obo/MONDO_0009704>,"carnitine palmitoyl transferase II deficiency, myopathic form","The myopathic form of carnitine palmitoyltransferase II (CPT II) deficiency, an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (LCFA), is the most common and the least severe form of CPT II deficiency.",<http://identifiers.org/hgnc/2330>,CPT2
<http://purl.obolibrary.org/obo/MONDO_0013282>,alpha 1-antitrypsin deficiency,"Alpha-1-antitrypsin deficiency is a hereditary disease that develops in adulthood and is characterized by chronic liver disorders (cirrhosis), respiratory disorders (emphysema), and rarely panniculitis.",<http://identifiers.org/hgnc/8941>,SERPINA1
<http://purl.obolibrary.org/obo/MONDO_0011655>,alveolar soft part sarcoma,"An alveolar soft part sarcoma occurring in adults. The most common site of involvement is the extremity, particularly the deep soft tissues of the thigh.",<http://identifiers.org/hgnc/13825>,ASPSCR1
<http://purl.obolibrary.org/obo/MONDO_0009401>,hyperprolinemia type 2,"Hyperprolinemia type 2 is an autosomal recessive proline metabolism disorder due to pyroline-5-carboxylate dehydrogenase deficiency. The condition is often benign but clinical signs may include seizures, intellectual deficit and mild developmental delay.",<http://identifiers.org/hgnc/406>,ALDH4A1
<http://purl.obolibrary.org/obo/MONDO_0008895>,hereditary arterial and articular multiple calcification syndrome,"Hereditary arterial and articular multiple calcification syndrome is a very rare genetic vascular disease of autosomal recessive inheritance, described in less than 20 patients to date, characterized by adult-onset (as early as the second decade of life) isolated calcification of the arteries of the lower extremities (including the iliac, femoral, and tibial arteries) as well as the capsule joints of the fingers, wrists, ankles and feet, and that usually manifests with mild paresthesias of the lower extremities, intense joint pain and swelling, and early onset arthritis of affected joints.",<http://identifiers.org/hgnc/8021>,NT5E
<http://purl.obolibrary.org/obo/MONDO_0013423>,immunodeficiency due to MASP-2 deficiency,"Immunodeficiency due to MASP-2 deficiency is a rare, genetic immunodeficiency due to a complement cascade protein anomaly characterized by low serum levels of MASP-2 and a variable susceptibility to bacterial infections (e.g. pulmonary tuberculosis, pneumococcal pneumonia, skin abscesses and sepsis), and autoimmune diseases (e.g. inflammatory lung disease, cystic fibrosis, systemic lupus erythematosus). In many cases it remains asymptomatic.",<http://identifiers.org/hgnc/6902>,MASP2
<http://purl.obolibrary.org/obo/MONDO_0009238>,hereditary folate malabsorption,"Hereditary folate malabsorption (HFM) is an inherited disorder of folate transport characterized by a systemic and central nervous system (CNS) folate deficiency manifesting as megaloblastic anemia, failure to thrive, diarrhea and/or oral mucositis, immunologic dysfunction and neurological disorders.",<http://identifiers.org/hgnc/30521>,SLC46A1
<http://purl.obolibrary.org/obo/MONDO_0008800>,microphthalmia with limb anomalies,"Microphthalmia with limb anomalies, also known as ophthalmo-acromelic syndrome (OAS), is a rare developmental disorder characterized by bilateral microphthalmia or anophthalmia, synostosis, syndactyly, oligodactyly and/or polydactyly.",<http://identifiers.org/hgnc/20318>,SMOC1
<http://purl.obolibrary.org/obo/MONDO_0009885>,Scott syndrome,Scott syndrome is an extremely rare congenital hemorrhagic disorder characterized by hemorrhagic episodes due to impaired platelet coagulant activity.,<http://identifiers.org/hgnc/25240>,ANO6
<http://purl.obolibrary.org/obo/MONDO_0010306>,"X-linked intellectual disability, Cabezas type","X-linked intellectual disability, Cabezas type is characterized by intellectual deficit, muscle wasting, short stature, a prominent lower lip, small testes, kyphosis and joint hyperextensibility. An abnormal gait, tremor, decreased fine motor coordination and impaired speech are also present. The syndrome has been described in six boys from three generations of the same family. Transmission is X-linked and the causative gene has been localized to the q24-q25 region of the X chromosome.",<http://identifiers.org/hgnc/2555>,CUL4B
<http://purl.obolibrary.org/obo/MONDO_0009665>,biotinidase deficiency,"Biotinidase deficiency is a late-onset form of multiple carboxylase deficiency, an inborn error of biotin metabolism that, if untreated, is characterized by seizures, breathing difficulties, hypotonia, skin rash, alopecia, hearing loss and delayed development.",<http://identifiers.org/hgnc/1122>,BTD
<http://purl.obolibrary.org/obo/MONDO_0011725>,Crigler-Najjar syndrome type 2,Type 2 Crigler-Najjar syndrome (CNS2) is a hereditary disorder of bilirubin metabolism characterized by unconjugated hyperbilirubinemia due to reduced and inducible activity of hepatic bilirubin glucuronosyltransferase (GT). CNS2 is a milder form of CNS than CNS1.,<http://identifiers.org/hgnc/12530>,UGT1A1
<http://purl.obolibrary.org/obo/MONDO_0009818>,autosomal recessive osteopetrosis 3,"Osteopetrosis with renal tubular acidosis is a rare disorder characterized by osteopetrosis, renal tubular acidosis (RTA), and neurological disorders related to cerebral calcifications.",<http://identifiers.org/hgnc/1373>,CA2
<http://purl.obolibrary.org/obo/MONDO_0008479>,"spondylometaphyseal dysplasia, 'corner fracture' type","A type of skeletal dysplasia associated with short stature, developmental coxa vara, progressive hip deformity, simulated 'corner fractures' of long tubular bones and vertebral body abnormalities (mostly oval vertebral bodies).",<http://identifiers.org/hgnc/3778>,FN1
<http://purl.obolibrary.org/obo/MONDO_0011604>,spondylo-ocular syndrome,"Spondylo-ocular syndrome is a very rare association of spinal and ocular manifestations that is characterized by dense cataracts, and retinal detachment along with generalized osteoporosis and platyspondyly. Mild craniofacial dysphormism has been reported including short neck, large head and prominent eyebrows.",<http://identifiers.org/hgnc/15517>,XYLT2
<http://purl.obolibrary.org/obo/MONDO_0011510>,Bohring-Opitz syndrome,"Bohring-Opitz syndrome is characterized by intrauterine growth retardation (IUGR), failure to thrive, facial dysmorphism (prominent metopic suture and forehead nevus flammeus, a low frontal and temporal hairline with hirsutism, puffy cheeks, upslanting palpebral fissures, exophthalmos, hypertelorism, cleft lip and palate, retrognathia and low set ears), flexion deformities of the elbows and wrists, camptodactyly, ulnar deviation of the fingers, foot anomalies and severe developmental delay. Less than 20 patients have been described so far. Although the large majority of reported cases occurred sporadically, autosomal recessive inheritance has also been reported.",<http://identifiers.org/hgnc/18318>,ASXL1
<http://purl.obolibrary.org/obo/MONDO_0010121>,thrombocytopenia-absent radius syndrome,Thrombocytopenia-absent radius (TAR) syndrome is a very rare congenital malformation syndrome characterized by bilateral radial aplasia and thrombocytopenia.,<http://identifiers.org/hgnc/9905>,RBM8A
<http://purl.obolibrary.org/obo/MONDO_0800030>,gastrointestinal defects and immunodeficiency syndrome 1,"A rare genetic disease characterized by multiple intestinal atresia in association with combined immunodeficiency and inflammatory bowel disease. Clinical features include widespread atresia extending from the stomach to the rectum, homogenous calcifications in the abdominal cavity, hepatic cholestasis, cirrhosis, and chronic liver failure, hypoplastic thymus, and increased susceptibility to mainly bacteria and viruses. The immunological phenotype consists of profound generalized T-cell lymphopenia and milder natural killer cell and B-cell lymphopenia, as well as low serum levels of IgG, IgA, and IgM, with elevated serum IgE. The disease is mostly fatal in infancy or childhood.",<http://identifiers.org/hgnc/19750>,TTC7A
<http://purl.obolibrary.org/obo/MONDO_0014827>,autosomal recessive spastic paraplegia type 76,"Autosomal recessive spastic paraplegia type 76 is a rare, complex hereditary spastic paraplegia characterized by adult onset slowly progressive, mild to moderate lower limb spasticity and hyperreflexia, resulting in gait disturbances, commonly associated with upper limb hyperreflexia and dysarthria. Foot deformities (usually pes cavus) and extensor plantar responses are also frequent. Additional features may include ataxia, lower limb weakness/amyotrophy, abnormal bladder function, distal sensory loss and mild intellectual deterioration.",<http://identifiers.org/hgnc/1476>,CAPN1
<http://purl.obolibrary.org/obo/MONDO_0012718>,hypotonia with lactic acidemia and hyperammonemia,"This syndrome is characterized by severe hypotonia, lactic academia and congenital hyperammonaemia.",<http://identifiers.org/hgnc/14508>,MRPS22
<http://purl.obolibrary.org/obo/MONDO_0007804>,Pallister-Hall syndrome,"Pallister-Hall syndrome (PHS), a pleiotropic autosomal dominant malformative disorder, is characterized by hypothalamic hamartoma, pituitary dysfunction, bifid epiglottis, polydactyly, and, more rarely, renal abnormalities and genitourinary malformations.",<http://identifiers.org/hgnc/4319>,GLI3
<http://purl.obolibrary.org/obo/MONDO_0011601>,neonatal intrahepatic cholestasis due to citrin deficiency,"Neonatal intrahepatic cholestasis due to citrin deficiency is a mild subtype of citrin deficiency characterized clinically by low birth weight, failure to thrive, transient intrahepatic cholestasis, multiple aminoacidemia, galactosemia, hypoproteinemia, hepatomegaly, decreased coagulation factors, hemolytic anemia, variable but mostly mild liver dysfunction, and hypoglycemia.",<http://identifiers.org/hgnc/10983>,SLC25A13
<http://purl.obolibrary.org/obo/MONDO_0800043>,Stüve-Wiedemann syndrome 1,"A rare autosomal recessive congenital primary skeletal dysplasia, characterized by small stature, bowing of the long bones, camptodactyly, hyperthermic episodes, respiratory distress/apneic episodes and feeding difficulties that usually lead to early mortality.",<http://identifiers.org/hgnc/6597>,LIFR
<http://purl.obolibrary.org/obo/MONDO_0010560>,"cleft palate with or without ankyloglossia, X-linked","X-linked cleft palate and ankyloglossia is a rare, genetic developmental defect during embryogenesis syndrome characterized by the association of complete, partial or submucous cleft palate and ankyloglossia. Patients may also present abnormal uvula (e.g. absent, bifid, shortened or laterally deviated), short lingual frenulum and dental anomalies (e.g. buccal crossbite, absent and/or misshapen teeth). Digital abnormalities, such as mild clinodactyly and/or syndactyly, have also been reported.",<http://identifiers.org/hgnc/11600>,TBX22
<http://purl.obolibrary.org/obo/MONDO_0011396>,loricrin keratoderma,"A diffuse palmoplantar keratoderma, characterized by honeycomb palmoplantar hyperkeratosis associated with pseudoainhum of the fifth digit of the hand, ichthyosis and deafness. Keratoderma hereditarium mutilans with ichthyosis follows an autosomal dominant mode of transmission.",<http://identifiers.org/hgnc/6663>,LORICRIN
<http://purl.obolibrary.org/obo/MONDO_0007836>,IVIC syndrome,"IVIC syndrome is a very rare genetic malformation syndrome characterized by upper limb anomalies (radial ray defects, carpal bone fusion), extraocular motor disturbances, and congenital bilateral non-progressive mixed hearing loss.",<http://identifiers.org/hgnc/15924>,SALL4
<http://purl.obolibrary.org/obo/MONDO_0009185>,amelocerebrohypohidrotic syndrome,"Kohlschütter-TC6nz syndrome (KTS) is a genetically heterogeneous autosomal recessive syndrome characterized by the triad of amelogenesis imperfect, infantile onset epilepsy, intellectual disability with or without regression and dementia.",<http://identifiers.org/hgnc/29478>,ROGDI
<http://purl.obolibrary.org/obo/MONDO_0010142>,hypothyroidism due to TSH receptor mutations,"Hypothyroidism due to thyroid-stimulating hormone (TSH) receptor mutations is a type of primary congenital hypothyroidism, a permanent thyroid hormone deficiency that is present from birth due to thyroid resistance to TSH.",<http://identifiers.org/hgnc/12373>,TSHR
<http://purl.obolibrary.org/obo/MONDO_0011781>,spinocerebellar ataxia type 17,"A rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I). It is characterized by a variable clinical picture which can include dementia, psychiatric disorders, parkinsonism, dystonia, chorea, spasticity, and epilepsy.",<http://identifiers.org/hgnc/11588>,TBP
<http://purl.obolibrary.org/obo/MONDO_0008516>,syndactyly type 5,"Syndactyly type 5 (SD5) is a very rare congenital limb malformation characterized by postaxial syndactyly of hands and feet, associated with metacarpal and metatarsal fusion of fourth and fifth digits.",<http://identifiers.org/hgnc/5136>,HOXD13
<http://purl.obolibrary.org/obo/MONDO_0007308>,Charcot-Marie-Tooth disease type 2A1,"Autosomal dominant Charcot-Marie-Tooth disease type 2A1 (CMT2A1) is a form of axonal Charcot-Marie-Tooth disease, a peripheral sensorimotor neuropathy. CMT2A presents with a more prominent muscle weakness in lower than upper limbs and frequent postural tremor.",<http://identifiers.org/hgnc/16636>,KIF1B
<http://purl.obolibrary.org/obo/MONDO_0013051>,autosomal recessive cutis laxa type 2B,"Autosomal recessive cutis laxa type 2B is a rare, hereditary, developmental defect with connective tissue involvement characterized by cutis laxa of variable severity, in utero growth restriction, congenital hip dislocation and joint hyperlaxity, wrinkling of the skin, in particular the dorsum of hands and feet, and progeroid facial features. Hypotonia, developmental delay, and intellectual disability are common. In addition, cataracts, corneal clouding, wormian bones, lipodystrophy and osteopenia have been reported.",<http://identifiers.org/hgnc/9721>,PYCR1
<http://purl.obolibrary.org/obo/MONDO_0010298>,Lesch-Nyhan syndrome,"Lesch-Nyhan syndrome (LNS) is the most severe form of hypoxanthine-guanine phosphoribosyltransferase (HPRT) deficiency, a hereditary disorder of purine metabolism, and is associated with uric acid overproduction (UAO), neurological troubles, and behavioral problems.",<http://identifiers.org/hgnc/5157>,HPRT1
<http://purl.obolibrary.org/obo/MONDO_0010275>,"spondyloepimetaphyseal dysplasia, Bieganski type","A rare genetic neurological disorder characterized by the association of hypomyelinating leukodystrophy with spondylometaphyseal dysplasia. Patients present in infancy with absent or delayed ability to walk independently, slowly progressive motor deterioration, spasticity, ataxia, proximal weakness, and joint contractures. Additional manifestations include mild cognitive impairment, short stature, scoliosis, enlarged and deformed joints, dysarthria, nystagmus, visual defects, and mildly dysmorphic features, among others. Mode of inheritance is X-linked recessive.",<http://identifiers.org/hgnc/8768>,AIFM1
<http://purl.obolibrary.org/obo/MONDO_0008927>,colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,"A rare genetic eye disease characterized by optic disk anomalies (bilateral colobomatous optic disks, retinal vessels arising from the peripheral optic disk) and macular atrophy. Peripapillary chorioretinal atrophy and chorioretinal and iris coloboma have also been described. Patients present with horizontal nystagmus and poor visual acuity.",<http://identifiers.org/hgnc/10892>,SIX6
<http://purl.obolibrary.org/obo/MONDO_0011243>,grange syndrome,"Grange syndrome is characterized by stenosis or occlusion of multiple arteries (including the renal, cerebral and abdominal vessels), hypertension, brachysyndactyly, syndactyly, increased bone fragility, and learning difficulties or borderline intellectual deficit. Congenital heart defects were also reported in some cases.",<http://identifiers.org/hgnc/30935>,YY1AP1
<http://purl.obolibrary.org/obo/MONDO_0010565>,red color blindness,"Protanopia is a severe type of color vision deficiency caused by the complete absence of red retinal photoreceptors. Protans have difficulties distinguishing between blue and green colors and also between red and green colors. It is a form of dichromatism in which the subject can only perceive light wavelengths from 400 to 650 nm, instead of the usual 700 nm. Pure reds cannot be seen, instead appearing black; purple colors cannot be distinguished from blues; more orange-tinted reds may appear as very dim yellows, and all orange-yellow-green shades of too long a wavelength to stimulate the blue receptors appear as a similar yellow hue. It is hereditary, sex-linked, and present in 1% of males.",<http://identifiers.org/hgnc/9936>,OPN1LW
<http://purl.obolibrary.org/obo/MONDO_0013886>,cerebellar dysfunction with variable cognitive and behavioral abnormalities,"Non-progressive cerebellar ataxia with intellectual deficit is a rare subtype of autosomal dominant cerebellar ataxia type 1 (ADCA type 1) characterized by the onset in infancy of cerebellar ataxia, neonatal hypotonia (in some), mild developmental delay and, in later life, intellectual disability. Less common features include dysarthria, dysmetria and dysmorphic facial features (long face, bulbous nose long philtrum, thick lower lip and pointed chin).",<http://identifiers.org/hgnc/18806>,CAMTA1
<http://purl.obolibrary.org/obo/MONDO_0800026>,"central hypoventilation syndrome, congenital, 1, with or without Hirschsprung disease","A rare disease due to a severely impaired central autonomic control of breathing and dysfunction of the autonomous nervous system. The incidence is estimated to be at 1 of 200 000 livebirths. A heterozygous mutation of PHOX-2B gene is found in 90% of the patients. Association with a Hirschsprung's disease is observed in 16% of the cases. Despite a high mortality rate and a lifelong dependence to mechanical ventilation, the long-term outcome of CCHS should be ultimately improved by multidisciplinary and coordinated follow-up of the patients.",<http://identifiers.org/hgnc/9143>,PHOX2B
<http://purl.obolibrary.org/obo/MONDO_0010663>,"intellectual disability-hypotonic facies syndrome, X-linked, 1","A group of X-linked syndromes characterized by severe intellectual deficit and facial dysmorphism, with variable other features.",<http://identifiers.org/hgnc/886>,ATRX
<http://purl.obolibrary.org/obo/MONDO_0800029>,interstitial lung disease 2,A nonneoplastic pulmonary disease that is characterized by the formation of scar tissue within the lungs in the absence of any known cause.,<http://identifiers.org/hgnc/10799>,SFTPA2
<http://purl.obolibrary.org/obo/MONDO_0014117>,Charcot-Marie-Tooth disease type 4B3,"Charcot-Marie-Tooth disease type 4B3 (CMT4B3) is a subtype of Charcot-Marie-Tooth type 4 characterized by a childhood onset of slowly progressing, demyelinating sensorimotor neuropathy, focally folded myelin sheaths in nerve biopsy, reduced nerve conduction velocities (less than 38 m/s), and the typical CMT phenotype (i.e. distal muscle weakness and atrophy, and sensory loss).",<http://identifiers.org/hgnc/10542>,SBF1
<http://purl.obolibrary.org/obo/MONDO_0012512>,fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,"Combined oxidative phosphorylation deficiency type 3 is an extremely rare clinically heterogenous disorder described in about 5 patients to date. Clinical signs included hypotonia, lactic acidosis, and hepatic insufficiency, with progressive encephalomyopathy or hypertrophic cardiomyopathy.",<http://identifiers.org/hgnc/12367>,TSFM
<http://purl.obolibrary.org/obo/MONDO_0011091>,Charcot-Marie-Tooth disease type 2D,"Autosomal dominant Charcot-Marie-Tooth disease type 2D (CMT2D) is a form of axonal Charcot-Marie-Tooth disease, a peripheral sensorimotor neuropathy, characterized by distal weakness primarily and predominantly occurring in the upper limbs and tendon reflexes absent or reduced in the arms and decreased in the legs. Progression is slow.",<http://identifiers.org/hgnc/4162>,GARS1
<http://purl.obolibrary.org/obo/MONDO_0012206>,spondyloepiphyseal dysplasia with metatarsal shortening,"A rare, genetic, primary bone dysplasia disorder characterized by early-onset, progressive pseudorheumatoid arthritis, platyspondyly, and hypoplasia/dysplasia of the third and fourth metatarsals, in the absence of ophthalmologic, cleft palate, and height anomalies.",<http://identifiers.org/hgnc/2200>,COL2A1
<http://purl.obolibrary.org/obo/MONDO_0010604>,hemophilia B,Hemophilia B is a form of hemophilia characterized by spontaneous or prolonged hemorrhages due to factor IX deficiency.,<http://identifiers.org/hgnc/3551>,F9
<http://purl.obolibrary.org/obo/MONDO_0007967>,melanoma and neural system tumor syndrome,Melanoma and neural system tumor syndrome is an extremely rare tumor association characterized by dual predisposition to melanoma and neural system tumors (typically astrocytoma).,<http://identifiers.org/hgnc/1787>,CDKN2A
